cnty,ExcessDrink_Percent,femalePOP165210D$10,hispanicPOP405210D$10,blackPOP255210D$10,forgnbornHC03_VC134ACS3yr$10,hsgradHC03_VC93ACS3yr$10,bachdegHC03_VC94ACS3yr$10,logincomeHC01_VC85ACS3yr$10,unemployAve_BLSLAUS$0910,marriedaveHC03_AC3yr$10,age_1to14,age_15to29,age_30to60,age_gte61,avg_zhs_zloginc
37099,15,50.2,5.1,1.8,5,81.1,28.6,4.56568,9.10000038146973,45.6,0.1369902755,0.28884920299999994,0.3470629105,0.21686250549999997,-1.331979121244648
37101,18,50.8,12.9,15.1,8.2,82.6,19.7,4.68832,9.85000038146973,56.85,0.22052452,0.1757328145,0.4370144575,0.15257037,0.061960933435624976
37105,10,51.2,18.3,20,10.8,80.4,18.5,4.65617,13.6000003814697,51.7,0.1995880875,0.1919509675,0.40256129350000003,0.1914385075,-0.5743415335059909
37107,8,52.3,6.6,40.5,3.9,76.9,14.5,4.52696,11.75,46.45,0.18393618850000001,0.18006579700000003,0.40073393,0.2232754135,-2.33076053428835
37109,12,50.4,6.7,5.5,5.2,82,17.7,4.67264,13.3999996185303,57.65,0.18262310800000003,0.167998271,0.44237635,0.195645064,-0.1774622135406
37111,7,50,5.3,3.8,3,79.8,14.4,4.5405,14.25,51.25,0.17021539400000002,0.166332455,0.42263581299999997,0.23019689850000002,-1.7669078360682589
37113,11,51.4,6.6,1.3,4.9,84.1,19.3,4.57567,11.0500001907349,59.5,0.14748292200000002,0.1569152645,0.368173266,0.31755445649999997,-0.786973830144295
37119,16,51.6,12.2,30.8,13.9,88.4,39.6,4.73298,10.75,47.4,0.1990459785,0.2213606755,0.433525709,0.131147586,1.357245654560328
37125,14,52.2,6,13.4,5.2,89.5,31.4,4.67167,9.94999980926514,57.4,0.169135463,0.1494924095,0.3743122335,0.296056116,0.937733290721152
37127,16,51.7,6.3,37.2,5,80.6,17.9,4.62838,12.3999996185303,48.3,0.183973836,0.18174018000000003,0.42021220950000004,0.201563618,-0.80926138914037
37129,18,51.5,5.3,14.8,5.1,90.4,37.1,4.68363,9.44999980926514,47.25,0.1555179285,0.236705964,0.39977749050000005,0.196533549,1.186673642962929
37133,18,46.4,10.1,15.6,4.8,88.3,18.3,4.64261,8.39999961853027,54.25,0.1968239025,0.3620980865,0.31142693200000005,0.10700590550000001,0.480811481795682
37135,16,52.2,8.2,11.9,13.9,89.9,54.7,4.72422,6.5,46.15,0.16135570600000002,0.2919040525,0.3918421535,0.145452846,1.4986303472643612
37139,15,50.9,4,37.8,3.3,82.1,19.4,4.63781,10.25,48.2,0.1766636135,0.23278400999999999,0.3892828805,0.18859323150000004,-0.494482617027293
37141,18,50,6.1,17.8,4,85.4,19.3,4.63887,11,55.85,0.1741146895,0.173638496,0.422366961,0.21757688549999996,0.010376154560105016
37147,13,52.8,5.5,34.1,4.8,84.4,27.1,4.57804,10.1499996185303,39.3,0.1751899965,0.298251574,0.368423134,0.14448538149999998,-0.7194044014812176
37149,14,52.1,5.5,4.5,4,86.8,24.6,4.63798,9.05000019073486,52.55,0.14580306650000002,0.13526054799999998,0.388246165,0.321879968,0.21178815669543002
37151,11,50.7,10.4,5.8,6.9,76.3,13.4,4.59819,11.1000003814697,55.75,0.19085392,0.17675910350000001,0.4205790785,0.199650672,-1.7417241187885169
37153,8,50.8,5.9,30.6,3.8,75.6,10.5,4.47161,13.8000001907349,42.2,0.188443113,0.1912443155,0.40150782499999993,0.20574266699999996,-3.0532812983571898
37155,9,51.4,8.1,24.3,6.1,69.2,12.2,4.46301,12.3999996185303,38.85,0.2073790965,0.219736483,0.39090576499999996,0.16613054900000002,-4.09478357719897
37157,16,51.8,5.5,18.9,3.7,77.4,12.8,4.57681,12.8500003814697,50.7,0.170675321,0.16738866200000002,0.42622333100000004,0.22535725950000002,-1.780608357789697
37159,10,50.6,7.7,16.2,5.4,79.4,16.5,4.60451,12.6999998092651,52.95,0.184815334,0.19104123,0.409561175,0.2021377945,-1.216710120983216
37161,9,51.7,3.5,10.1,2.6,79.6,14.6,4.54813,16.2999992370605,54.15,0.173463527,0.1656133365,0.40783364699999997,0.24187364299999997,-1.7241608578877772
37163,11,51,16.5,27,9.2,75.1,12.5,4.56092,8.75,50.2,0.1992656495,0.182715595,0.40571656599999995,0.198413533,-2.276906806875523
37165,9,51.7,2.1,38.6,1.6,74.8,14,4.45781,16.7999992370605,41.7,0.192535189,0.1955320385,0.40025797300000004,0.19811368749999997,-3.3047686797203797
37167,15,50.3,3.6,10.9,2.7,81.3,16.1,4.65316,12.25,55.6,0.17495387550000002,0.188054924,0.4084518305,0.2176186405,-0.4681009816354884
37169,22,51.2,2.6,4,1.2,80.4,11.3,4.63586,10.5,60.3,0.170428168,0.1620208165,0.4337469585,0.224074402,-0.767944268679033
37179,14,50.6,10.4,11.7,8.5,86.7,30,4.8019,9.94999980926514,62.7,0.2415430765,0.1696019895,0.43366928700000007,0.14234420150000002,1.759344113283437
37181,8,53.1,6.7,49.9,3.7,74,10.3,4.51644,13.6000003814697,42.7,0.195369776,0.19361237850000002,0.3975937635,0.19998769700000002,-2.86582543042954
37183,15,51.3,9.8,20.7,13,91.9,47.8,4.80199,8.35000038146973,52.45,0.20552720400000002,0.21202292700000003,0.44054195349999997,0.12786519,2.53981509072343
37189,15,49.8,3.4,1.7,2.8,89.1,39.5,4.51636,8.25,42.85,0.10594256500000002,0.40369619900000003,0.3065528115,0.176433647,-0.602711627288409
37191,10,51.1,9.9,31.4,6.6,81.7,15.9,4.61067,8.94999980926514,50.55,0.193685563,0.21152928800000004,0.39678656349999997,0.18411463,-0.813161775946328
37193,9,50.6,5.4,4.1,3,73.6,12.4,4.48669,13.1499996185303,58.75,0.1757379755,0.1624809815,0.416073356,0.235309853,-3.2093841136618098
38015,19,50.8,1.2,0.6,1.2,92.9,33.3,4.72982,3.5,55.95,0.1751134525,0.218243625,0.4064467805,0.18679421400000001,2.001788469117575
38017,21,49.6,2,2.3,5,94.1,36.5,4.68242,3.95000004768372,48.85,0.170146463,0.2905743555,0.3850280725,0.13990147849999998,1.729864136667826
38035,20,48.6,2.9,2,3.8,93,33,4.6595,3.79999995231628,44.25,0.1544115275,0.33825661749999997,0.3472380825,0.146974447,1.3464637292797679
38059,22,50.1,1.5,0.4,0.6,87.6,21.7,4.72215,4.40000009536743,60.7,0.1848784215,0.185515015,0.4127388735,0.20373484499999997,1.134069456036315
38089,20,50,1.9,0.8,1.5,88,21,4.71798,2.84999990463257,56.15,0.163345504,0.23627448149999997,0.37563587449999997,0.211713957,1.154289647044572
38093,21,49.1,1.7,0.7,1.4,86,21.6,4.66152,3.65000009536743,48.3,0.1578717395,0.198467154,0.402302186,0.230248878,0.3162400235528843
38101,23,49.3,3,2.5,2.3,92.6,26.9,4.6837,3.65000009536743,53.75,0.1821816845,0.26195046850000003,0.3644762655,0.17505930649999998,1.5171772057021249
38105,27,48.4,1.9,0.3,2.3,89.5,19,4.78146,2.09999990463257,57.35,0.176677234,0.20718875949999999,0.39994164299999996,0.2024646315,1.9842938172917162
39003,17,49.6,2.4,11.9,1.4,87.6,15.4,4.62296,10.8999996185303,49.55,0.1851046535,0.2100183085,0.38867011450000005,0.203881435,0.18855220828575697
39007,22,50.1,3.4,3.5,1.3,84.3,12.5,4.62103,12.8999996185303,51.9,0.18156084749999998,0.17665968799999998,0.4124723785,0.21681969699999998,-0.3245997380727124
39009,10,49.9,1.5,2.7,3.7,87.8,27.9,4.51048,8.94999980926514,34.1,0.1215538995,0.418698277,0.306759798,0.144830257,-0.8536653155812449
39011,18,50.4,1.2,0.3,0.9,91.3,15.6,4.698,9.75,62.7,0.194891781,0.1767692935,0.405675722,0.209044897,1.458587042559067
39013,23,49.6,0.6,4,0.9,86.6,14.1,4.58899,9.39999961853027,52,0.1485965125,0.181744496,0.4165908025,0.242523587,-0.285188492179599
39017,19,51.1,4,7.3,5.3,87.2,26.3,4.73459,9.39999961853027,52.5,0.1961518825,0.217750726,0.406082927,0.16697305150000002,1.1926820872772461
39019,17,50.1,0.8,0.5,0.4,81.8,11.8,4.61978,12.9499998092651,56.3,0.17809545,0.1612072795,0.41703757550000004,0.23278169,-0.711329191569724
39021,17,50.5,1.1,2.2,1.2,88,15.9,4.68408,11.3500003814697,56.2,0.191178093,0.18553031650000001,0.4084887525,0.20267887150000002,0.831141802516454
39023,14,51.6,2.8,8.8,2.4,85.2,15.9,4.63312,10.3500003814697,49.95,0.181506629,0.19118000400000001,0.39047946099999997,0.22473165499999997,-0.07442017580767599
39025,15,50.7,1.5,1.2,2.4,87.6,25.6,4.77625,9.69999980926514,56.9,0.2011252495,0.182065957,0.43050199749999996,0.17327681800000003,1.649771473410097
39029,15,49.8,1.2,2.2,1.1,85.1,12.7,4.58764,12.75,53.5,0.1666657795,0.171971614,0.42268877899999996,0.22776498099999998,-0.522945595154406
39031,14,50.6,0.8,1.1,0.3,85.3,12.3,4.58977,12.8000001907349,55.15,0.185165437,0.1797180785,0.40005213,0.22316522600000005,-0.472656497742142
39033,27,51.4,1.2,0.9,0.6,86.6,10.8,4.6109,13.4499998092651,53.95,0.1788882375,0.1701304515,0.40092437,0.23897355250000002,-0.076333941335615
39035,17,52.6,4.8,29.7,7,86.8,28.6,4.62642,9.14999961853027,41.6,0.172370093,0.1960661565,0.40855012,0.2115596685,0.10159378847286904
39037,11,50.9,1.2,0.4,0.6,87.1,11.1,4.62852,10.8500003814697,60.45,0.19422271800000002,0.1691342035,0.39618791600000003,0.22749456150000003,0.16658947324146897
39039,10,50.8,8.7,1.9,1.7,87.4,16.9,4.63286,12.8000001907349,56.6,0.190999458,0.188825036,0.4002541680000001,0.207640572,0.25293769994939497
39041,20,50.7,2.1,3.4,5.7,95.7,48.9,4.94478,7,66.05,0.2320104865,0.15439380349999998,0.455691231,0.1446365215,4.47066155371342
